incident_id,date,state,city_or_county,n_killed,n_injured,incident_characteristics,latitude,longitude,n_guns_involved,participant_age,participant_age_group,participant_gender,participant_relationship,participant_status,participant_type
873041,2017-06-21,Illinois,Chicago,0,1,Shot - Wounded/Injured,41.8414,-87.6524,1.0,0::16,0::Teen 12-17,0::Male,,0::Injured,0::Victim
871962,2017-06-21,Ohio,Cincinnati,1,1,"Shot - Wounded/Injured||Drive-by (car to street, car to car)||Shootout (where VENN diagram of shooters and victims overlap)||Bar/club incident - in or around establishment",39.2053,-84.3928,1.0,0::21||1::21||2::18||3::25||4::28||5::29,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+,0::Male||1::Male||2::Male||3::Female||4::Male||5::Male,,"0::Killed||1::Injured||2::Unharmed||3::Unharmed, Arrested||4::Unharmed, Arrested||5::Unharmed",0::Victim||1::Victim||2::Subject-Suspect||3::Subject-Suspect||4::Subject-Suspect||5::Subject-Suspect
872392,2017-06-21,New York,Utica,0,1,Shot - Wounded/Injured,43.1077,-75.2478,1.0,,0::Adult 18+,0::Male,,0::Injured,0::Victim
872941,2017-06-21,Arkansas,Little Rock,0,1,"Shot - Wounded/Injured||Drive-by (car to street, car to car)",34.7436,-92.3251,1.0,,0::Adult 18+,0::Male,,0::Injured,0::Victim
872103,2017-06-21,Illinois,Chicago,1,0,"Shot - Dead (murder, accidental, suicide)",41.81100000000001,-87.7509,1.0,0::34,0::Adult 18+,0::Male||1::Male,,0::Killed||1::Unharmed,0::Victim||1::Subject-Suspect
878066,2017-06-21,California,Porterville,0,0,Non-Shooting Incident||Drug involvement||Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator )||Possession (gun(s) found during commission of other crimes),36.0563,-119.008,1.0,,,,,,
873080,2017-06-21,District of Columbia,Washington,0,1,Shot - Wounded/Injured,38.9029,-76.95,1.0,,0::Adult 18+,0::Male,,0::Injured,0::Victim
873290,2017-06-21,Connecticut,Hartford,0,0,Non-Shooting Incident||Drug involvement||ATF/LE Confiscation/Raid/Arrest||Possession (gun(s) found during commission of other crimes)||Possession of gun by felon or prohibited person,41.7962,-72.6805,1.0,0::39,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
873306,2017-06-21,Maine,Fairfield,0,0,Non-Shooting Incident||ATF/LE Confiscation/Raid/Arrest||Possession (gun(s) found during commission of other crimes)||Stolen/Illegally owned gun{s} recovered during arrest/warrant,44.6388,-69.7375,1.0,0::48,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
873069,2017-06-21,Kentucky,Louisville,0,1,Shot - Wounded/Injured||Officer Involved Incident||Officer Involved Shooting - Officer shot,38.2047,-85.6808,1.0,1::24,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Injured||1::Arrested,0::Victim||1::Subject-Suspect
